Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossDist	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.22695884	-0.639688	0.18532342	-0.21924803	-1.0871478	25.13254	0.0739951	0.055642076	0.26031518	-0.065482646	32000	-3.4468248e-06	0.12666315	0.028512958	-0.022712115	-0.111662306	2.8185787	0.015043826	0.348625	18.0	15.493584632873535
1	0.0	0.39258513	-0.4550843	0.15065895	-0.05972448	-0.9442454	22.659681	-0.2547849	0.06619968	0.15392604	-0.4047183	64000	5.6969e-06	0.016458675	0.028220393	-0.022511505	-0.0068583824	2.8198638	0.01510487	0.3431875	23.0	32.105571031570435
2	0.0	0.3739147	-0.2976414	0.13617894	0.064379245	-0.75498414	21.967087	-0.17242196	0.08276477	0.17880866	-0.32950547	96000	5.9660524e-06	0.014306635	0.027923487	-0.029397864	-0.005224594	2.790945	0.017593348	0.25156248	14.0	46.84878754615784
3	0.01032115	0.41799515	-0.14701834	0.19997787	1.2832949	-0.6203177	20.581152	-0.114759214	0.05150168	0.07483161	-0.22497115	128000	6.336719e-06	0.021136668	0.027494062	-0.023350272	-0.005219264	2.7481656	0.015968898	0.29309374	9.0	60.54362916946411
4	0.061256386	0.5675246	-0.04052711	0.3529273	1.3959645	-0.43486133	17.661112	-0.048552673	0.052693326	0.13276815	-0.20840272	160000	-4.2431056e-06	0.066249505	0.026829502	-0.008479441	-0.008889504	2.6814587	0.015243581	0.40678126	10.0	74.4015007019043
5	0.11031062	0.65205055	0.028966492	0.45896742	1.415342	-0.38297737	14.591959	0.0047380277	0.083828226	0.30049568	-0.22322595	192000	-4.021451e-06	0.1295886	0.025816018	-0.007220262	-0.020670587	2.5803597	0.01401222	0.09734375	79.0	103.77748703956604
6	0.08048001	0.6916456	-0.03943547	0.41139373	1.4568722	-0.60921913	12.979064	0.012328319	0.11840614	0.47226274	-0.3613762	224000	-9.350479e-06	0.13325396	0.0250661	-0.006380815	-0.030984074	2.5055542	0.00991642	0.055656247	79.0	133.05468726158142
7	0.16019768	0.61962867	0.10062264	0.53637916	1.4239906	-0.42425442	14.559743	-0.0067239534	0.13879086	0.44301146	-0.5320235	256000	8.996576e-06	0.18709743	0.02545328	-0.0070305914	-0.042567495	2.544406	0.010579685	0.0919375	79.0	162.3782353401184
8	0.110827684	0.72464705	0.026424885	0.46564826	1.4590647	-0.4751111	11.8497	0.07335807	0.15238653	0.61113507	-0.46220404	288000	6.482005e-06	0.15894696	0.024937823	-0.0084972195	-0.029608326	2.492608	0.012019242	0.09396875	79.0	191.92139768600464
9	0.12421799	0.722305	0.03883889	0.49124423	1.4277853	-0.45411184	11.707281	0.051191695	0.14310823	0.6639875	-0.31563482	320000	3.632158e-06	0.17789957	0.0251685	-0.0057741986	-0.04170928	2.5158215	0.008981505	0.04446875	79.0	221.27774286270142
10	0.09839463	0.7542918	0.0021537247	0.45202073	1.4986753	-0.5558791	10.842159	0.09635362	0.16985674	0.7761864	-0.43791342	352000	6.360933e-06	0.16579504	0.024911452	-0.0066865403	-0.02843668	2.490035	0.009894716	0.06415625	79.0	250.5507583618164
11	0.13142627	0.6787633	0.0523867	0.499103	1.4380713	-0.38050276	12.996732	0.018748656	0.13030824	0.5081919	-0.41222796	384000	3.0100346e-06	0.16139586	0.02515664	-0.0071005803	-0.026047893	2.5146008	0.009553481	0.05975	79.0	279.8906321525574
12	0.15172106	0.67215097	0.094808415	0.53516006	1.4479365	-0.36797532	12.97586	0.053484544	0.1482385	0.58911973	-0.4571265	416000	2.2035092e-06	0.18219292	0.02483217	-0.006787404	-0.035692163	2.481895	0.0071962345	0.048062503	79.0	309.43215680122375
13	0.14700165	0.6757995	0.08574152	0.5317045	1.4494611	-0.4273123	12.261664	0.09725984	0.17740408	0.8073219	-0.5515454	448000	-9.408221e-06	0.18492073	0.024420638	-0.006592924	-0.0360709	2.4405231	0.007411713	0.046906248	79.0	338.8335099220276
