Epoch	SuccessRate	CollRate	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.2839962	-0.5705916	0.17232923	-0.23	-1.0142797	24.419872	0.06577602	0.06684678	0.23304796	-0.14200765	8000	-4.0978193e-08	0.10360074	-0.024017245	-0.091924235	2.8159513	0.015060524	0.33875	13.0	1.1820714473724365
1	0.0	0.39090908	-0.34660357	0.14859714	-0.036320448	-0.7647974	21.125	-0.2135593	0.097365476	0.21549375	-0.41090524	16000	-2.3283064e-08	0.020522807	-0.024228789	-0.013671862	2.798289	0.01566875	0.48725	17.0	2.2582321166992188
2	0.0	0.3332168	-0.17109758	0.12832338	0.055818103	-0.6177686	22.15	-0.12822922	0.071695074	0.12846246	-0.32816365	24000	5.122274e-09	0.013333615	-0.025020085	-0.0084423525	2.7604754	0.015662692	0.295125	14.0	3.3752596378326416
3	0.037087914	0.49240452	-0.068647586	0.28679594	1.3064429	-0.3325508	18.334135	-0.09777806	0.059003342	0.0697146	-0.3605069	32000	-3.7252903e-09	0.04287846	-0.014542491	-0.016453337	2.7073295	0.016274365	0.346625	15.0	4.485972166061401
4	0.08153012	0.6851803	-0.005842564	0.39675903	1.3772806	-0.30554658	13.264184	-0.05341382	0.08061845	0.20548117	-0.39129552	40000	-1.4901161e-08	0.10059489	-0.01809017	-0.049237683	2.6337523	0.010590725	0.13024999	79.0	5.690648317337036
5	0.09591806	0.6444558	0.03032392	0.44312042	1.3967754	-0.295521	13.755435	0.08355158	0.19424798	0.7614922	-0.35671648	48000	-9.313226e-10	0.1428176	-0.02167695	-0.08449641	2.572579	0.010195507	0.105625	79.0	6.8164660930633545
6	0.111083515	0.72229236	0.030645385	0.45952037	1.425817	-0.29755107	11.691617	0.0878119	0.2728714	0.99764246	-0.5646351	56000	1.1175871e-08	0.19132641	-0.024867155	-0.124510765	2.5556412	0.011745203	0.164375	79.0	7.993185520172119
7	0.13686952	0.69028693	0.07311284	0.49253574	1.3901538	-0.29182526	13.003378	0.14179713	0.36155167	1.0704467	-0.6344246	64000	1.4901161e-08	0.25657642	-0.025456566	-0.16589767	2.53593	0.014651152	0.14412501	79.0	9.121827125549316
8	0.14413147	0.70153964	0.05594919	0.49839377	1.4238235	-0.3157248	11.207353	0.041048713	0.215082	0.7946509	-0.5213777	72000	0.0	0.19597295	-0.026894145	-0.11652211	2.5276208	0.012359696	0.152375	79.0	10.306293249130249
9	0.23327033	0.63616467	0.21246162	0.6229327	1.462765	-0.29197502	12.725	0.17590055	0.30390528	1.0591688	-0.6546818	80000	3.7252903e-09	0.2819314	-0.024964076	-0.19328243	2.50554	0.009601983	0.139875	79.0	11.438619613647461
10	0.23935439	0.53745425	0.24298011	0.62629706	1.4625578	-0.29486975	15.565041	0.30497247	0.3867057	1.3897216	-0.6591243	88000	-1.4901161e-08	0.32915908	-0.029758293	-0.21597013	2.4972262	0.015054164	0.1725	78.0	12.622485160827637
11	0.22560307	0.54273576	0.20807317	0.61091864	1.4363486	-0.32360867	15.005905	0.19147697	0.23804955	0.86263156	-0.36955127	96000	-1.8626451e-08	0.22042641	-0.02515877	-0.1266166	2.5020847	0.015013638	0.163625	59.0	13.701212167739868
12	0.25706828	0.5821964	0.23868155	0.63967085	1.4771248	-0.3298694	13.552447	0.15860835	0.2902245	1.0017179	-0.91558015	104000	1.6763806e-08	0.25525314	-0.029886423	-0.1723269	2.4877648	0.014622342	0.173125	79.0	14.8706636428833
13	0.23318034	0.6520253	0.19606164	0.6280598	1.4755462	-0.2831627	12.488636	0.20806037	0.27200824	1.1025088	-0.58007455	112000	7.450581e-09	0.22758284	-0.031149318	-0.11249226	2.4665127	0.014345456	0.1785	79.0	16.092170000076294
14	0.27761447	0.5673728	0.28977144	0.6666438	1.44508	-0.28802583	13.940647	0.31013542	0.3464097	1.3649156	-0.5330629	120000	-1.4901161e-08	0.2789874	-0.03054474	-0.17243545	2.4601495	0.013943519	0.1765	79.0	17.240886449813843
15	0.33422232	0.5086188	0.35490704	0.72046053	1.4629778	-0.33128673	13.451724	0.29765806	0.30313697	1.1783156	-0.94727135	128000	-7.450581e-09	0.28948757	-0.024416614	-0.1761998	2.4179173	0.015090087	0.14050001	42.0	18.338377475738525
16	0.358806	0.44472167	0.42701244	0.70837075	1.4676157	-0.3050493	15.400407	0.37555042	0.3893769	1.4931891	-0.6335921	136000	-5.5879354e-09	0.33033904	-0.025876615	-0.24425712	2.4179795	0.0150780175	0.16675	51.0	19.37058448791504
17	0.34224015	0.45869786	0.41037038	0.7059057	1.4795697	-0.29043415	15.425404	0.2847679	0.33885166	1.2930276	-0.5764725	144000	1.4901161e-08	0.3030845	-0.033277318	-0.20430857	2.4224439	0.015083649	0.17825	74.0	20.576238870620728
18	0.41883877	0.44141605	0.4898368	0.7344602	1.4643269	-0.33219728	14.932	0.3637112	0.35387176	1.3676946	-0.64976114	152000	7.450581e-09	0.2823375	-0.03449867	-0.17499267	2.4065285	0.01441166	0.21162501	79.0	21.70125722885132
19	0.52552086	0.3710451	0.63631815	0.751762	1.4718974	-0.32000932	15.817623	0.43388563	0.28868562	1.1521903	-0.5666336	160000	3.7252903e-09	0.19719788	-0.034816276	-0.09570964	2.3818514	0.013047203	0.19562499	79.0	22.875495195388794
20	0.6008585	0.31216234	0.74922454	0.7457431	1.4525807	-0.33442894	16.243645	0.5619188	0.28511697	1.345101	-0.29259416	168000	-1.4901161e-08	0.19174771	-0.034013078	-0.114161536	2.3338358	0.0149912555	0.17674999	79.0	23.99168348312378
21	0.5359077	0.39472803	0.66638374	0.7652213	1.5039734	-0.35126784	15.151575	0.56436396	0.31811717	1.343782	-0.44482315	176000	6.519258e-09	0.2527166	-0.031202449	-0.15201625	2.3311067	0.015105916	0.181125	55.0	25.067455768585205
22	0.49521142	0.35308242	0.62075555	0.7654695	1.4782686	-0.38663396	15.2420635	0.55866075	0.32802597	1.3161759	-0.4865626	184000	-1.0244548e-08	0.24788499	-0.029945394	-0.14238992	2.2962604	0.01508458	0.184625	44.0	26.071269750595093
23	0.6257013	0.30747783	0.7935822	0.7445486	1.4976978	-0.299742	15.23622	0.51648813	0.32283127	1.403716	-0.5790481	192000	0.0	0.26147795	-0.033268902	-0.17014916	2.2505383	0.015033847	0.18175	77.0	27.227102518081665
24	0.5756769	0.32767275	0.6985523	0.78121114	1.5003554	-0.3907142	14.998062	0.6336304	0.29043177	1.2941968	-0.31259325	200000	2.0023435e-08	0.24714622	-0.027247833	-0.15282987	2.2527857	0.015031613	0.16437499	42.0	28.235774755477905
25	0.46584466	0.47096616	0.5615454	0.783659	1.5127641	-0.41392115	12.773179	0.5808141	0.33543226	1.6344322	-0.42718706	208000	3.7252903e-09	0.25380248	-0.033141598	-0.15681754	2.2340798	0.015043967	0.18175	59.0	29.341193437576294
26	0.5227572	0.4425937	0.62284416	0.7975639	1.503452	-0.3772494	12.956954	0.5308187	0.39869383	1.4170156	-0.85129815	216000	1.8626451e-09	0.23801565	-0.032988288	-0.14427519	2.2165031	0.009427983	0.182625	79.0	30.471269607543945
27	0.629228	0.290962	0.8204922	0.76649684	1.5274165	-0.44153434	15.098837	0.66947293	0.31510675	1.5404731	-0.71028227	224000	-2.0023435e-08	0.20850985	-0.03792149	-0.1222112	2.165586	0.014375566	0.186625	79.0	31.639164686203003
28	0.512132	0.44325194	0.62757456	0.80578905	1.5395038	-0.35274115	12.387658	0.6020204	0.36260906	1.6519958	-0.48514596	232000	-5.5879354e-09	0.22046447	-0.03320998	-0.15102856	2.1663163	0.015073488	0.20625	56.0	32.693193197250366
29	0.5304097	0.4154762	0.6649207	0.79528517	1.5234432	-0.34873208	12.756579	0.5909257	0.40850738	1.3620528	-0.77643746	240000	-3.7252903e-09	0.2613992	-0.033221778	-0.1593087	2.1570272	0.015062076	0.2035	64.0	33.8138222694397
30	0.52243817	0.4223054	0.64115214	0.792611	1.4979348	-0.4387567	12.763158	0.6345429	0.36269724	1.4435772	-0.4335993	248000	7.450581e-09	0.21351461	-0.03483016	-0.12907162	2.1411176	0.0107266335	0.189	79.0	34.972517013549805
31	0.4705864	0.48482695	0.55315083	0.802319	1.5278085	-0.4296736	12.681373	0.5762831	0.37474674	1.5890567	-0.7083947	256000	-3.7252903e-09	0.22199453	-0.032336004	-0.12321827	2.13978	0.014829195	0.198625	79.0	36.174747705459595
32	0.52994716	0.4088558	0.67387456	0.7878774	1.5098859	-0.33459172	13.265411	0.55435866	0.41220564	1.573753	-0.8401413	264000	-1.8626451e-08	0.24174984	-0.032364346	-0.15356012	2.1152027	0.015087499	0.18	60.0	37.303319692611694
33	0.5754021	0.37734443	0.7533494	0.7889317	1.5139107	-0.35304222	13.112245	0.6657025	0.34815976	1.3603879	-0.48840404	272000	-2.7939677e-09	0.20553258	-0.034062527	-0.10851958	2.0367403	0.015059351	0.189875	74.0	38.44628548622131
34	0.6133524	0.35819367	0.7607485	0.7940158	1.5382601	-0.39392123	13.332759	0.69726956	0.34734967	1.5414138	-0.77113336	280000	5.5879354e-09	0.19245774	-0.02906558	-0.11167893	2.063033	0.01505837	0.18625	35.0	39.74785137176514
